基金代码,基金简称,类型,机构持有比例,个人持有比例,资产规模,原始摘要,小类,年化收益率,年化波动率,夏普比率,Beta,Alpha,数据起止,交易日数,计算状态
159796,汇添富中证电池主题E,指数型,77.59%,22.41%,93.91 亿,截至2025-06-30，汇添富中证电池主题ETF 的基金机构持有13.94亿份，占总份额的77.59%，个人投资者持有4.03亿份，占总份额的22.41%,新能源,-0.14947273027998753,0.34011493378448737,-0.5129816804531775,1.2560859471013353,-0.08982892844736112,2022-03-15 至 2025-02-28,717.0,成功
159268,汇添富国证港股通消费,指数型,85.50%,14.50%,7.29 亿,截至2025-07-14，汇添富国证港股通消费主题ETF 的基金机构持有1.95亿份，占总份额的85.50%，个人投资者持有0.33亿份，占总份额的14.50%,消费,,,,,,,,数据不足
513590,鹏华中证港股通消费主,指数型,50.54%,49.46%,2.29 亿,截至2025-06-30，鹏华中证港股通消费主题ETF 的基金机构持有1.97亿份，占总份额的50.54%，个人投资者持有1.93亿份，占总份额的49.46%,消费,0.00031625099766285913,0.3099629788429806,-0.07963450698040074,1.1716921527949515,0.1047077160675296,2021-08-20 至 2025-02-28,851.0,成功
159939,广发中证全指信息技术,指数型,79.01%,20.99%,12.66 亿,截至2025-06-30，广发中证全指信息技术ETF 的基金机构持有19.80亿份，占总份额的79.01%，个人投资者持有5.26亿份，占总份额的20.99%,科技,-0.03804110838181751,0.39626285508621617,-0.15908911868133957,1.1344666623853437,0.0003457349920392705,2015-02-06 至 2025-02-28,2443.0,成功
159801,广发国证半导体芯片E,指数型,54.58%,45.42%,44.92 亿,截至2025-06-30，广发国证半导体芯片ETF 的基金机构持有29.12亿份，占总份额的54.58%，个人投资者持有24.24亿份，占总份额的45.42%,芯片,-0.11250543834105764,0.42005854537570964,-0.3273482705085067,1.1538028086704877,-0.024777217798598317,2020-02-19 至 2025-02-28,1220.0,成功
510810,汇添富中证上海国企E,指数型,99.29%,0.71%,67.47 亿,截至2025-06-30，汇添富中证上海国企ETF 的基金机构持有93.45亿份，占总份额的99.29%，个人投资者持有0.66亿份，占总份额的0.71%,国央企,-0.02486733587622547,0.1858645252585425,-0.2682993745409926,0.8041624072457129,-0.0398769571044556,2016-08-30 至 2025-02-28,2053.0,成功
588180,国联安上证科创板50,指数型,70.00%,30.00%,19.19 亿,截至2025-06-30，国联安上证科创板50成份ETF 的基金机构持有34.67亿份，占总份额的70.00%，个人投资者持有14.85亿份，占总份额的30.00%,科创板,-0.09462159282308336,0.30246608386315377,-0.3954876239188667,1.1797946498105867,0.018534668225460127,2021-07-02 至 2025-02-28,886.0,成功
516810,华夏中证农业主题ET,指数型,40.59%,29.79%,2.34 亿,截至2025-06-30，华夏中证农业主题ETF 的基金机构持有0.97亿份，占总份额的40.59%，个人投资者持有0.71亿份，占总份额的29.79%,农业,-0.13125576173472997,0.21019283663024607,-0.743392421168007,0.7763128236391266,-0.07272802754867569,2022-01-12 至 2025-02-28,756.0,成功
159637,新能源车龙头ETF,指数型,69.99%,30.01%,10.42 亿,截至2025-06-30，新能源车龙头ETF 的基金机构持有9.13亿份，占总份额的69.99%，个人投资者持有3.92亿份，占总份额的30.01%,新能源,-0.15146133587545363,0.2976965740256524,-0.5927556823688808,1.2693008306214508,-0.11705768958176588,2022-09-02 至 2025-02-28,600.0,成功
588060,广发上证科创板50成,指数型,56.80%,43.20%,83.73 亿,截至2025-06-30，广发上证科创板50成份ETF 的基金机构持有51.30亿份，占总份额的56.80%，个人投资者持有39.02亿份，占总份额的43.20%,科创板,-0.11354206063132477,0.29880397266113096,-0.4636553503538697,1.161070494362488,-0.01705270844844342,2021-07-30 至 2025-02-28,866.0,成功
562930,易方达中证软件服务E,指数型,77.07%,22.93%,2.63 亿,截至2025-06-30，易方达中证软件服务ETF 的基金机构持有1.48亿份，占总份额的77.07%，个人投资者持有0.44亿份，占总份额的22.93%,科技,-0.06487256138306241,0.3789216734614947,-0.23717978589629313,1.2849514856832724,-0.04658108076057754,2023-06-06 至 2025-02-28,419.0,成功
520510,华夏中证港股通医疗主,指数型,95.41%,4.59%,2.06 亿,截至2025-07-31，华夏中证港股通医疗主题ETF 的基金机构持有4.84亿份，占总份额的95.41%，个人投资者持有0.23亿份，占总份额的4.59%,医药,,,,,,,,数据不足
512710,富国中证军工龙头ET,指数型,61.00%,39.00%,100.58 亿,截至2025-06-30，富国中证军工龙头ETF 的基金机构持有105.00亿份，占总份额的61.00%，个人投资者持有67.13亿份，占总份额的39.00%,军工,-0.10286388140361347,0.3762173916501211,-0.3398670137039432,0.9866487574645156,-0.049693803337501175,2019-08-27 至 2025-02-28,1332.0,成功
159852,嘉实中证软件服务ET,指数型,64.43%,35.57%,60.25 亿,截至2025-06-30，嘉实中证软件服务ETF 的基金机构持有25.40亿份，占总份额的64.43%，个人投资者持有14.02亿份，占总份额的35.57%,科技,-0.03561700665098211,0.3410881179338932,-0.177716559046863,1.1468801301755258,0.12477569462780069,2021-02-10 至 2025-02-28,978.0,成功
159718,平安中证港股通医药卫,指数型,58.02%,41.98%,2.09 亿,截至2025-06-30，平安中证港股通医药卫生综合ETF 的基金机构持有1.72亿份，占总份额的58.02%，个人投资者持有1.25亿份，占总份额的41.98%,医药,-0.10548296309408667,0.3510598771434553,-0.3716829281540675,1.2595340900346876,0.02224814530177821,2021-12-29 至 2025-02-28,765.0,成功
159960,平安港股通恒生中国企,指数型,90.31%,9.69%,5.06 亿,截至2025-06-30，平安港股通恒生中国企业ETF 的基金机构持有5.50亿份，占总份额的90.31%，个人投资者持有0.59亿份，占总份额的9.69%,国央企,-0.013637346607064504,0.21676009916622893,-0.1782493491914963,0.7313463495718289,-0.02579131308175764,2018-10-23 至 2025-02-28,1537.0,成功
560260,广发中证医疗ETF,指数型,93.92%,6.08%,15.10 亿,截至2025-06-30，广发中证医疗ETF 的基金机构持有18.30亿份，占总份额的93.92%，个人投资者持有1.19亿份，占总份额的6.08%,医药,-0.13312101497441087,0.30455940852978114,-0.5191795444367272,1.2253236860093648,-0.14167048403133664,2023-09-18 至 2025-02-28,347.0,成功
512070,易方达沪深300非银,指数型,79.02%,20.98%,176.13 亿,截至2025-06-30，易方达沪深300非银ETF 的基金机构持有73.59亿份，占总份额的79.02%，个人投资者持有19.54亿份，占总份额的20.98%,非银,-0.09048783637555302,0.35781346733738356,-0.3227598928428793,1.197668103093669,-0.032804828081060666,2015-08-05 至 2025-02-28,2322.0,成功
520670,嘉实恒生港股通科技主,指数型,83.60%,16.40%,2.73 亿,截至2025-08-12，嘉实恒生港股通科技主题ETF 的基金机构持有2.07亿份，占总份额的83.60%，个人投资者持有0.41亿份，占总份额的16.40%,科技,,,,,,,,数据不足
562880,嘉实中证电池主题ET,指数型,65.06%,34.94%,14.52 亿,截至2025-06-30，嘉实中证电池主题ETF 的基金机构持有3.94亿份，占总份额的65.06%，个人投资者持有2.12亿份，占总份额的34.94%,新能源,-0.1700373698522003,0.3396494945855285,-0.5742312971500305,1.19643483779397,-0.04186713387630436,2021-07-21 至 2025-02-28,873.0,成功
159885,鹏华中证内地低碳经济,指数型,69.48%,30.52%,2.44 亿,截至2025-06-30，鹏华中证内地低碳经济主题ETF 的基金机构持有3.01亿份，占总份额的69.48%，个人投资者持有1.32亿份，占总份额的30.52%,低碳,-0.13385609290200118,0.3188929364290706,-0.4981486723439375,1.0262158417650333,-0.036524668465186316,2021-04-15 至 2025-02-28,938.0,成功
515960,嘉实医药健康100E,指数型,63.64%,36.36%,2.04 亿,截至2025-06-30，嘉实医药健康100ETF 的基金机构持有1.81亿份，占总份额的63.64%，个人投资者持有1.03亿份，占总份额的36.36%,医药,-0.08126604412184091,0.2541033291934444,-0.4182001253550772,0.9472168134835016,-0.0613233158619253,2020-06-11 至 2025-02-28,1143.0,成功
159851,华宝中证金融科技主题,指数型,62.89%,37.11%,100.84 亿,截至2025-06-30，华宝中证金融科技主题ETF 的基金机构持有21.51亿份，占总份额的62.89%，个人投资者持有12.69亿份，占总份额的37.11%,科技,0.11565675014321841,0.36126506674603953,0.25094247545099035,1.205172320325415,0.2714248169267486,2021-03-22 至 2025-02-28,955.0,成功
159735,银华中证港股通消费主,指数型,61.91%,38.09%,7.26 亿,截至2025-06-30，银华中证港股通消费主题ETF 的基金机构持有4.78亿份，占总份额的61.91%，个人投资者持有2.94亿份，占总份额的38.09%,消费,-0.048151048225967386,0.3056182535700913,-0.23935431660723996,1.1138247386875801,0.07388820038352928,2021-06-07 至 2025-02-28,904.0,成功
512800,华宝中证银行ETF,指数型,79.51%,20.49%,127.94 亿,截至2025-06-30，华宝中证银行ETF 的基金机构持有55.59亿份，占总份额的79.51%，个人投资者持有14.33亿份，占总份额的20.49%,银行,0.05630730610134882,0.18922460369374003,0.1654505042696228,0.670632632494899,0.057590040446055646,2017-08-04 至 2025-02-28,1836.0,成功
159928,汇添富中证主要消费E,指数型,55.43%,44.57%,208.92 亿,截至2025-06-30，汇添富中证主要消费ETF 的基金机构持有84.68亿份，占总份额的55.43%，个人投资者持有68.09亿份，占总份额的44.57%,消费,-0.01773473895268618,0.34852752324237624,-0.12261510527238101,0.9259850913159463,0.012651099098762497,2013-09-17 至 2025-02-28,2781.0,成功
159797,汇添富中证全指医疗器,指数型,61.77%,38.23%,3.18 亿,截至2025-06-30，汇添富中证全指医疗器械ETF 的基金机构持有0.64亿份，占总份额的61.77%，个人投资者持有0.39亿份，占总份额的38.23%,医药,-0.09207904983442328,0.2471967598050903,-0.4736269598628144,0.9655763385183456,-0.07478664713790761,2022-05-17 至 2025-02-28,677.0,成功
